clave_entidad,entidad,clave_municipio_inegi,clave_municipio_ife,municipio
07,Chiapas,07068,07068,Pichucalco
07,Chiapas,07069,07069,Pijijiapan
07,Chiapas,07070,07070,Porvenir--El
07,Chiapas,07071,07107,Villa Comaltitlan
07,Chiapas,07072,07071,Pueblo Nuevo Solistahuacan
07,Chiapas,07073,07072,Rayon
07,Chiapas,07074,07073,Reforma
07,Chiapas,07075,07074,Rosas--Las
07,Chiapas,07076,07075,Sabanilla
07,Chiapas,07077,07076,Salto de Agua
07,Chiapas,07078,07077,San Cristobal de las Casas
07,Chiapas,07079,07078,San Fernando
07,Chiapas,07080,07081,Siltepec
07,Chiapas,07081,07082,Simojovel
07,Chiapas,07082,07083,Sitala
07,Chiapas,07083,07084,Socoltenango
07,Chiapas,07084,07085,Solosuchiapa
07,Chiapas,07085,07086,Soyalo
07,Chiapas,07086,07087,Suchiapa
07,Chiapas,07087,07088,Suchiate
07,Chiapas,07088,07089,Sunuapa
07,Chiapas,07089,07090,Tapachula
07,Chiapas,07090,07091,Tapalapa
07,Chiapas,07091,07092,Tapilula
07,Chiapas,07092,07093,Tecpatan
07,Chiapas,07093,07094,Tenejapa
07,Chiapas,07094,07095,Teopisca
07,Chiapas,07096,07096,Tila
07,Chiapas,07097,07097,Tonala
07,Chiapas,07098,07098,Totolapa
07,Chiapas,07099,07099,Trinitaria--La
07,Chiapas,07100,07100,Tumbala
07,Chiapas,07101,07102,Tuxtla Gutierrez
07,Chiapas,07102,07101,Tuxtla Chico
07,Chiapas,07103,07103,Tuzantan
07,Chiapas,07104,07104,Tzimol
07,Chiapas,07105,07105,Union Juarez
07,Chiapas,07106,07106,Venustiano Carranza
07,Chiapas,07107,07108,Villa Corzo
07,Chiapas,07108,07109,Villaflores
07,Chiapas,07109,07110,Yajalon
07,Chiapas,07110,07080,San Lucas
07,Chiapas,07111,07111,Zinacantan
07,Chiapas,07112,07079,San Juan Cancuc
07,Chiapas,07113,07112,Aldama
07,Chiapas,07114,07113,Benemerito de las Americas
07,Chiapas,07115,07114,Maravilla Tenejapa
07,Chiapas,07116,07115,Marques de Comillas
07,Chiapas,07117,07116,Montecristo de Guerrero
07,Chiapas,07118,07117,San Andres Duraznal
07,Chiapas,07119,07118,Santiago El Pinar
07,Chiapas,07120,07119,Capitan Luis Angel Vidal
07,Chiapas,07121,07120,Rincon Chamula San Pedro
07,Chiapas,07122,07121,El Parral
07,Chiapas,07123,07122,Emiliano Zapata
07,Chiapas,07124,07123,Mezcalapa
07,Chiapas,07125,07124,Honduras de la Sierra
08,Chihuahua,08001,08001,Ahumada
08,Chihuahua,08002,08002,Aldama
08,Chihuahua,08003,08003,Allende
08,Chihuahua,08004,08004,Aquiles Serdan
08,Chihuahua,08005,08005,Ascension
08,Chihuahua,08006,08006,Bachiniva
08,Chihuahua,08007,08007,Balleza
08,Chihuahua,08008,08008,Batopilas
08,Chihuahua,08009,08009,Bocoyna
08,Chihuahua,08010,08010,Buenaventura
08,Chihuahua,08011,08011,Camargo
08,Chihuahua,08012,08012,Carichi
08,Chihuahua,08013,08013,Casas Grandes
08,Chihuahua,08014,08014,Coronado
08,Chihuahua,08015,08015,Coyame del Sotol
08,Chihuahua,08016,08016,Cruz--La
08,Chihuahua,08017,08017,Cuauhtemoc
08,Chihuahua,08018,08018,Cusihuiriachi
08,Chihuahua,08019,08019,Chihuahua
08,Chihuahua,08020,08020,Chinipas
08,Chihuahua,08021,08021,Delicias
08,Chihuahua,08022,08022,Dr. Belisario Dominguez
08,Chihuahua,08023,08023,Galeana
08,Chihuahua,08024,08024,Santa Isabel
08,Chihuahua,08025,08025,Gomez Farias
08,Chihuahua,08026,08026,Gran Morelos
08,Chihuahua,08027,08027,Guachochi
08,Chihuahua,08028,08028,Guadalupe
08,Chihuahua,08029,08029,Guadalupe y Calvo
08,Chihuahua,08030,08030,Guazapares
08,Chihuahua,08031,08031,Guerrero
08,Chihuahua,08032,08032,Hidalgo del Parral
08,Chihuahua,08033,08033,Huejotitan
08,Chihuahua,08034,08034,Ignacio Zaragoza
08,Chihuahua,08035,08035,Janos
08,Chihuahua,08036,08036,Jimenez
08,Chihuahua,08037,08037,Juarez
08,Chihuahua,08038,08038,Julimes
08,Chihuahua,08039,08039,Lopez
08,Chihuahua,08040,08040,Madera
08,Chihuahua,08041,08041,Maguarichi
08,Chihuahua,08042,08042,Manuel Benavides
08,Chihuahua,08043,08043,Matachi
08,Chihuahua,08044,08044,Matamoros
08,Chihuahua,08045,08045,Meoqui
08,Chihuahua,08046,08046,Morelos
08,Chihuahua,08047,08047,Moris
08,Chihuahua,08048,08048,Namiquipa
08,Chihuahua,08049,08049,Nonoava
08,Chihuahua,08050,08050,Nuevo Casas Grandes
08,Chihuahua,08051,08051,Ocampo
08,Chihuahua,08052,08052,Ojinaga
08,Chihuahua,08053,08053,Praxedis G. Guerrero
08,Chihuahua,08054,08054,Riva Palacio
08,Chihuahua,08055,08055,Rosales
08,Chihuahua,08056,08056,Rosario
08,Chihuahua,08057,08057,San Francisco de Borja
08,Chihuahua,08058,08058,San Francisco de Conchos
08,Chihuahua,08059,08059,San Francisco del Oro
08,Chihuahua,08060,08060,Santa Barbara
08,Chihuahua,08061,08061,Satevo
08,Chihuahua,08062,08062,Saucillo
08,Chihuahua,08063,08063,Temosachi
08,Chihuahua,08064,08064,Tule--El
08,Chihuahua,08065,08065,Urique
08,Chihuahua,08066,08066,Uruachi
08,Chihuahua,08067,08067,Valle de Zaragoza
09,Ciudad de México,09002,09002,Azcapotzalco
09,Ciudad de México,09003,09003,Coyoacan
09,Ciudad de México,09004,09004,Cuajimalpa de Morelos
09,Ciudad de México,09005,09005,Gustavo A. Madero
09,Ciudad de México,09006,09006,Iztacalco
09,Ciudad de México,09007,09007,Iztapalapa
09,Ciudad de México,09008,09008,Magdalena Contreras--La
09,Ciudad de México,09009,09009,Milpa Alta
09,Ciudad de México,09010,09010,Alvaro Obregon
09,Ciudad de México,09011,09011,Tlahuac
09,Ciudad de México,09012,09012,Tlalpan
09,Ciudad de México,09013,09013,Xochimilco
09,Ciudad de México,09014,09014,Benito Juarez
09,Ciudad de México,09015,09015,Cuauhtemoc
09,Ciudad de México,09016,09016,Miguel Hidalgo
09,Ciudad de México,09017,09017,Venustiano Carranza
10,Durango,10001,10001,Canatlan
10,Durango,10002,10002,Canelas
10,Durango,10003,10003,Coneto de Comonfort
10,Durango,10004,10004,Cuencame
10,Durango,10005,10005,Durango
10,Durango,10006,10006,General Simon Bolivar
10,Durango,10007,10007,Gomez Palacio
10,Durango,10008,10008,Guadalupe Victoria
10,Durango,10009,10009,Guanacevi
10,Durango,10010,10010,Hidalgo
10,Durango,10011,10011,Inde
10,Durango,10012,10012,Lerdo
10,Durango,10013,10013,Mapimi
10,Durango,10014,10014,Mezquital
10,Durango,10015,10015,Nazas
10,Durango,10016,10016,Nombre de Dios
10,Durango,10017,10018,Ocampo
10,Durango,10018,10019,Oro--El
10,Durango,10019,10020,Otaez
10,Durango,10020,10021,Panuco de Coronado
10,Durango,10021,10022,Peñon Blanco
10,Durango,10022,10023,Poanas
10,Durango,10023,10024,Pueblo Nuevo
10,Durango,10024,10025,Rodeo
10,Durango,10025,10026,San Bernardo
10,Durango,10026,10027,San Dimas
10,Durango,10027,10028,San Juan de Guadalupe
10,Durango,10028,10029,San Juan del Rio
10,Durango,10029,10030,San Luis del Cordero
10,Durango,10030,10031,San Pedro del Gallo
10,Durango,10031,10032,Santa Clara
10,Durango,10032,10033,Santiago Papasquiaro
10,Durango,10033,10034,Suchil
10,Durango,10034,10035,Tamazula
10,Durango,10035,10036,Tepehuanes
10,Durango,10036,10037,Tlahualilo
10,Durango,10037,10038,Topia
10,Durango,10038,10039,Vicente Guerrero
10,Durango,10039,10017,Nuevo Ideal
11,Guanajuato,11001,11001,Abasolo
11,Guanajuato,11002,11002,Acambaro
11,Guanajuato,11003,11003,San Miguel de Allende
11,Guanajuato,11004,11004,Apaseo El Alto
11,Guanajuato,11005,11005,Apaseo El Grande
11,Guanajuato,11006,11006,Atarjea
11,Guanajuato,11007,11007,Celaya
11,Guanajuato,11008,11008,Manuel Doblado
11,Guanajuato,11009,11009,Comonfort
11,Guanajuato,11010,11010,Coroneo
11,Guanajuato,11011,11011,Cortazar
11,Guanajuato,11012,11012,Cueramaro
11,Guanajuato,11013,11013,Doctor Mora
11,Guanajuato,11014,11014,Dolores Hidalgo
11,Guanajuato,11015,11015,Guanajuato
11,Guanajuato,11016,11016,Huanimaro
11,Guanajuato,11017,11017,Irapuato
11,Guanajuato,11018,11018,Jaral del Progreso
11,Guanajuato,11019,11019,Jerecuaro
11,Guanajuato,11020,11020,Leon
11,Guanajuato,11021,11021,Moroleon
11,Guanajuato,11022,11022,Ocampo
11,Guanajuato,11023,11023,Penjamo
11,Guanajuato,11024,11024,Pueblo Nuevo
11,Guanajuato,11025,11025,Purisima del Rincon
11,Guanajuato,11026,11026,Romita
11,Guanajuato,11027,11027,Salamanca
11,Guanajuato,11028,11028,Salvatierra
11,Guanajuato,11029,11029,San Diego de la Union
11,Guanajuato,11030,11030,San Felipe
11,Guanajuato,11031,11031,San Francisco del Rincon
11,Guanajuato,11032,11032,San Jose Iturbide
11,Guanajuato,11033,11033,San Luis de la Paz
11,Guanajuato,11034,11034,Santa Catarina
11,Guanajuato,11035,11035,Santa Cruz de Juventino Rosas
11,Guanajuato,11036,11036,Santiago Maravatio
11,Guanajuato,11037,11037,Silao
11,Guanajuato,11038,11038,Tarandacuao
11,Guanajuato,11039,11039,Tarimoro
11,Guanajuato,11040,11040,Tierra Blanca
11,Guanajuato,11041,11041,Uriangato
11,Guanajuato,11042,11042,Valle de Santiago
11,Guanajuato,11043,11043,Victoria
11,Guanajuato,11044,11044,Villagran
11,Guanajuato,11045,11045,Xichu
11,Guanajuato,11046,11046,Yuriria
12,Guerrero,12001,12001,Acapulco de Juarez
12,Guerrero,12002,12002,Ahuacuotzingo
12,Guerrero,12003,12003,Ajuchitlan del Progreso
12,Guerrero,12004,12004,Alcozauca de Guerrero
12,Guerrero,12005,12005,Alpoyeca
12,Guerrero,12006,12006,Apaxtla
12,Guerrero,12007,12007,Arcelia
12,Guerrero,12008,12008,Atenango del Rio
12,Guerrero,12009,12009,Atlamajalcingo del Monte
12,Guerrero,12010,12010,Atlixtac
12,Guerrero,12011,12011,Atoyac de Alvarez
12,Guerrero,12012,12012,Ayutla de los Libres
12,Guerrero,12013,12013,Azoyu
12,Guerrero,12014,12014,Benito Juarez
12,Guerrero,12015,12015,Buenavista de Cuellar
12,Guerrero,12016,12016,Coahuayutla de Jose Maria Izazaga
12,Guerrero,12017,12017,Cocula
12,Guerrero,12018,12018,Copala
12,Guerrero,12019,12019,Copalillo
12,Guerrero,12020,12020,Copanatoyac
12,Guerrero,12021,12021,Coyuca de Benitez
12,Guerrero,12022,12022,Coyuca de Catalan
12,Guerrero,12023,12023,Cuajinicuilapa
12,Guerrero,12024,12024,Cualac
12,Guerrero,12025,12025,Cuautepec
12,Guerrero,12026,12026,Cuetzala del Progreso
12,Guerrero,12027,12027,Cutzamala de Pinzon
12,Guerrero,12028,12028,Chilapa de Alvarez
12,Guerrero,12029,12029,Chilpancingo de los Bravo
12,Guerrero,12030,12031,Florencio Villarreal
12,Guerrero,12031,12032,General Canuto A. Neri
12,Guerrero,12032,12033,General Heliodoro Castillo
12,Guerrero,12033,12034,Huamuxtitlan
12,Guerrero,12034,12035,Huitzuco de los Figueroa
12,Guerrero,12035,12036,Iguala de la Independencia
12,Guerrero,12036,12037,Igualapa
12,Guerrero,12037,12038,Ixcateopan de Cuauhtemoc
12,Guerrero,12038,12039,Zihuatanejo de Azueta
12,Guerrero,12039,12040,Juan R. Escudero
12,Guerrero,12040,12041,Leonardo Bravo
12,Guerrero,12041,12042,Malinaltepec
12,Guerrero,12042,12043,Martir de Cuilapan
12,Guerrero,12043,12044,Metlatonoc
12,Guerrero,12044,12045,Mochitlan
12,Guerrero,12045,12046,Olinala
12,Guerrero,12046,12047,Ometepec
12,Guerrero,12047,12048,Pedro Ascencio Alquisiras
12,Guerrero,12048,12049,Petatlan
12,Guerrero,12049,12050,Pilcaya
12,Guerrero,12050,12051,Pungarabato
12,Guerrero,12051,12052,Quechultenango
12,Guerrero,12052,12053,San Luis Acatlan
12,Guerrero,12053,12054,San Marcos
12,Guerrero,12054,12055,San Miguel Totolapan
12,Guerrero,12055,12056,Taxco de Alarcon
12,Guerrero,12056,12057,Tecoanapa
12,Guerrero,12057,12058,Tecpan de Galeana
12,Guerrero,12058,12059,Teloloapan
12,Guerrero,12059,12060,Tepecoacuilco de Trujano
12,Guerrero,12060,12061,Tetipac
12,Guerrero,12061,12062,Tixtla de Guerrero
12,Guerrero,12062,12063,Tlacoachistlahuaca
12,Guerrero,12063,12064,Tlacoapa
12,Guerrero,12064,12065,Tlalchapa
12,Guerrero,12065,12066,Tlalixtaquilla de Maldonado
12,Guerrero,12066,12067,Tlapa de Comonfort
12,Guerrero,12067,12068,Tlapehuala
12,Guerrero,12068,12069,Union de Isidoro Montes de Oca--La
12,Guerrero,12069,12070,Xalpatlahuac
12,Guerrero,12070,12071,Xochihuehuetlan
12,Guerrero,12071,12072,Xochistlahuaca
12,Guerrero,12072,12073,Zapotitlan Tablas
12,Guerrero,12073,12074,Zirandaro
12,Guerrero,12074,12075,Zitlala
12,Guerrero,12075,12030,Eduardo Neri
12,Guerrero,12076,12076,Acatepec
12,Guerrero,12077,12080,Marquelia
12,Guerrero,12078,12079,Cochoapa El Grande
12,Guerrero,12079,12077,Jose Joaquin de Herrera
12,Guerrero,12080,12081,Juchitan
12,Guerrero,12081,12078,Iliatenco
12,Guerrero,12082,12083,Las Vigas
12,Guerrero,12083,12082,Ñuu Savi
12,Guerrero,12084,12085,Santa Cruz del Rincon
12,Guerrero,12085,12084,San Nicolas
13,Hidalgo,13001,13001,Acatlan
13,Hidalgo,13002,13002,Acaxochitlan
13,Hidalgo,13003,13003,Actopan
13,Hidalgo,13004,13004,Agua Blanca de Iturbide
13,Hidalgo,13005,13005,Ajacuba
13,Hidalgo,13006,13006,Alfajayucan
13,Hidalgo,13007,13007,Almoloya
13,Hidalgo,13008,13008,Apan
13,Hidalgo,13009,13019,Arenal--El
13,Hidalgo,13010,13009,Atitalaquia
13,Hidalgo,13011,13010,Atlapexco
13,Hidalgo,13012,13011,Atotonilco El Grande
13,Hidalgo,13013,13012,Atotonilco de Tula
13,Hidalgo,13014,13013,Calnali
13,Hidalgo,13015,13014,Cardonal
13,Hidalgo,13016,13015,Cuautepec de Hinojosa
13,Hidalgo,13017,13016,Chapantongo
13,Hidalgo,13018,13017,Chapulhuacan
13,Hidalgo,13019,13018,Chilcuautla
13,Hidalgo,13020,13020,Eloxochitlan
13,Hidalgo,13021,13021,Emiliano Zapata
13,Hidalgo,13022,13022,Epazoyucan
13,Hidalgo,13023,13023,Francisco I. Madero
13,Hidalgo,13024,13024,Huasca de Ocampo
13,Hidalgo,13025,13025,Huautla
13,Hidalgo,13026,13026,Huazalingo
13,Hidalgo,13027,13027,Huehuetla
13,Hidalgo,13028,13028,Huejutla de Reyes
13,Hidalgo,13029,13029,Huichapan
13,Hidalgo,13030,13030,Ixmiquilpan
13,Hidalgo,13031,13031,Jacala de Ledezma
13,Hidalgo,13032,13032,Jaltocan
13,Hidalgo,13033,13033,Juarez Hidalgo
13,Hidalgo,13034,13035,Lolotla
13,Hidalgo,13035,13036,Metepec
13,Hidalgo,13036,13050,San Agustin Metzquititlan
13,Hidalgo,13037,13037,Metztitlan
13,Hidalgo,13038,13038,Mineral del Chico
13,Hidalgo,13039,13039,Mineral del Monte
13,Hidalgo,13040,13034,Mision--La
13,Hidalgo,13041,13041,Mixquiahuala de Juarez
13,Hidalgo,13042,13042,Molango de Escamilla
13,Hidalgo,13043,13043,Nicolas Flores
13,Hidalgo,13044,13044,Nopala de Villagran
13,Hidalgo,13045,13045,Omitlan de Juarez
13,Hidalgo,13046,13053,San Felipe Orizatlan
13,Hidalgo,13047,13046,Pacula
13,Hidalgo,13048,13047,Pachuca de Soto
13,Hidalgo,13049,13048,Pisaflores
13,Hidalgo,13050,13049,Progreso de Obregon
13,Hidalgo,13051,13040,Mineral de la Reforma
13,Hidalgo,13052,13051,San Agustin Tlaxiaca
13,Hidalgo,13053,13052,San Bartolo Tutotepec
13,Hidalgo,13054,13054,San Salvador
13,Hidalgo,13055,13055,Santiago de Anaya
13,Hidalgo,13056,13056,Santiago Tulantepec de Lugo Guerrero
13,Hidalgo,13057,13057,Singuilucan
13,Hidalgo,13058,13058,Tasquillo
13,Hidalgo,13059,13059,Tecozautla
13,Hidalgo,13060,13060,Tenango de Doria
13,Hidalgo,13061,13061,Tepeapulco
13,Hidalgo,13062,13062,Tepehuacan de Guerrero
13,Hidalgo,13063,13063,Tepeji del Rio de Ocampo
13,Hidalgo,13064,13064,Tepetitlan
13,Hidalgo,13065,13065,Tetepango
13,Hidalgo,13066,13077,Villa de Tezontepec
13,Hidalgo,13067,13066,Tezontepec de Aldama
13,Hidalgo,13068,13067,Tianguistengo
13,Hidalgo,13069,13068,Tizayuca
13,Hidalgo,13070,13069,Tlahuelilpan
13,Hidalgo,13071,13070,Tlahuiltepa
13,Hidalgo,13072,13071,Tlanalapa
13,Hidalgo,13073,13072,Tlanchinol
13,Hidalgo,13074,13073,Tlaxcoapan
13,Hidalgo,13075,13074,Tolcayuca
13,Hidalgo,13076,13075,Tula de Allende
13,Hidalgo,13077,13076,Tulancingo de Bravo
13,Hidalgo,13078,13078,Xochiatipan
13,Hidalgo,13079,13079,Xochicoatlan
13,Hidalgo,13080,13080,Yahualica
13,Hidalgo,13081,13081,Zacualtipan de Angeles
13,Hidalgo,13082,13082,Zapotlan de Juarez
13,Hidalgo,13083,13083,Zempoala
13,Hidalgo,13084,13084,Zimapan
14,Jalisco,14001,14001,Acatic
14,Jalisco,14002,14002,Acatlan de Juarez
14,Jalisco,14003,14003,Ahualulco de Mercado
14,Jalisco,14004,14004,Amacueca
14,Jalisco,14005,14005,Amatitan
14,Jalisco,14006,14006,Ameca
14,Jalisco,14007,14007,San Juanito de Escobedo
14,Jalisco,14008,14008,Arandas
14,Jalisco,14009,14009,Arenal--El
14,Jalisco,14010,14010,Atemajac de Brizuela
14,Jalisco,14011,14011,Atengo
14,Jalisco,14012,14012,Atenguillo
14,Jalisco,14013,14013,Atotonilco El Alto
14,Jalisco,14014,14014,Atoyac
14,Jalisco,14015,14015,Autlan de Navarro
14,Jalisco,14016,14016,Ayotlan
14,Jalisco,14017,14017,Ayutla
14,Jalisco,14018,14018,Barca--La
14,Jalisco,14019,14019,Bolaños
14,Jalisco,14020,14020,Cabo Corrientes
14,Jalisco,14021,14021,Casimiro Castillo
14,Jalisco,14022,14022,Cihuatlan
14,Jalisco,14023,14023,Zapotlan El Grande
14,Jalisco,14024,14025,Cocula
14,Jalisco,14025,14026,Colotlan
14,Jalisco,14026,14027,Concepcion de Buenos Aires
14,Jalisco,14027,14028,Cuautitlan de Garcia Barragan
14,Jalisco,14028,14029,Cuautla
14,Jalisco,14029,14030,Cuquio
14,Jalisco,14030,14031,Chapala
14,Jalisco,14031,14032,Chimaltitan
14,Jalisco,14032,14033,Chiquilistlan
14,Jalisco,14033,14034,Degollado
14,Jalisco,14034,14035,Ejutla
14,Jalisco,14035,14036,Encarnacion de Diaz
14,Jalisco,14036,14037,Etzatlan
14,Jalisco,14037,14039,Grullo--El
14,Jalisco,14038,14040,Guachinango
14,Jalisco,14039,14041,Guadalajara
14,Jalisco,14040,14042,Hostotipaquillo
14,Jalisco,14041,14043,Huejucar
14,Jalisco,14042,14044,Huejuquilla El Alto
14,Jalisco,14043,14045,Huerta--La
14,Jalisco,14044,14046,Ixtlahuacan de los Membrillos
14,Jalisco,14045,14047,Ixtlahuacan del Rio
14,Jalisco,14046,14048,Jalostotitlan
14,Jalisco,14047,14049,Jamay
14,Jalisco,14048,14050,Jesus Maria
14,Jalisco,14049,14051,Jilotlan de los Dolores
14,Jalisco,14050,14052,Jocotepec
14,Jalisco,14051,14053,Juanacatlan
14,Jalisco,14052,14054,Juchitlan
14,Jalisco,14053,14055,Lagos de Moreno
14,Jalisco,14054,14056,Limon--El
14,Jalisco,14055,14057,Magdalena
14,Jalisco,14056,14058,Santa Maria del Oro
14,Jalisco,14057,14059,Manzanilla de la Paz--La
14,Jalisco,14058,14060,Mascota
14,Jalisco,14059,14061,Mazamitla
14,Jalisco,14060,14062,Mexticacan
14,Jalisco,14061,14063,Mezquitic
14,Jalisco,14062,14064,Mixtlan
14,Jalisco,14063,14065,Ocotlan
14,Jalisco,14064,14066,Ojuelos de Jalisco
14,Jalisco,14065,14067,Pihuamo
14,Jalisco,14066,14068,Poncitlan
14,Jalisco,14067,14069,Puerto Vallarta
14,Jalisco,14068,14070,Villa Purificacion
14,Jalisco,14069,14071,Quitupan
14,Jalisco,14070,14072,Salto--El
14,Jalisco,14071,14073,San Cristobal de la Barranca
14,Jalisco,14072,14074,San Diego de Alejandria
14,Jalisco,14073,14075,San Juan de los Lagos
14,Jalisco,14074,14076,San Julian
14,Jalisco,14075,14077,San Marcos
14,Jalisco,14076,14078,San Martin de Bolaños
14,Jalisco,14077,14079,San Martin de Hidalgo
14,Jalisco,14078,14080,San Miguel El Alto
14,Jalisco,14079,14038,Gomez Farias
